Algorithm,TestCase,Makespan,CacheHit,TotalExecutionTime,AvgExecutionTime,ResponseTime,CpuUtilization,LoadBalance
CacheAware_v2,64,161015.00,0.736,1112195.00,18536.58,73116.15,0.863,0.882
CacheAware_v2,65,179038.00,0.747,1171815.00,19530.25,73646.43,0.818,0.872
CacheAware_v2,66,187661.00,0.739,1140293.00,19004.88,73830.10,0.760,0.819
CacheAware_v2,67,179776.00,0.736,1119912.00,18665.20,84751.97,0.779,0.829
CacheAware_v2,68,185715.00,0.744,1126033.00,18767.22,72675.28,0.758,0.793
CacheAware_v2,69,165696.00,0.735,1112010.00,18533.50,78396.97,0.839,0.861
CacheAware_v2,70,185483.00,0.737,1159556.00,19325.93,80040.20,0.781,0.848
CacheAware_v2,71,172137.00,0.744,1117127.00,18618.78,82297.30,0.811,0.909
CacheAware_v2,72,176901.00,0.737,1094460.00,18241.00,74699.07,0.773,0.801
CacheAware_v2,73,168996.00,0.739,1130390.00,18839.83,78929.83,0.836,0.860
CacheAware_v2,74,159200.00,0.736,1132767.00,18879.45,79927.08,0.889,0.912
CacheAware_v2,75,162543.00,0.738,1102859.00,18380.98,75552.78,0.848,0.842
CacheAware_v2,76,181174.00,0.739,1128160.00,18802.67,76812.08,0.778,0.845
CacheAware_v2,77,168398.00,0.742,1124438.00,18740.63,77383.92,0.835,0.831
CacheAware_v2,78,198980.00,0.732,1142992.00,19049.87,73375.53,0.718,0.809
CacheAware_v2,79,167540.00,0.737,1140055.00,19000.92,77540.85,0.851,0.898
CacheAware_v2,80,156960.00,0.745,1108638.00,18477.30,73495.53,0.883,0.921
CacheAware_v2,81,262340.00,0.738,1375609.00,22926.82,90566.10,0.655,0.770
CacheAware_v2,82,210603.00,0.741,1368681.00,22811.35,95935.37,0.812,0.837
CacheAware_v2,83,204136.00,0.737,1349209.00,22486.82,91925.23,0.826,0.889
CacheAware_v2,84,229184.00,0.736,1367108.00,22785.13,93247.67,0.746,0.849
CacheAware_v2,85,205358.00,0.735,1341782.00,22363.03,90015.78,0.817,0.888
CacheAware_v2,86,205882.00,0.731,1350453.00,22507.55,94225.82,0.820,0.818
CacheAware_v2,87,200098.00,0.744,1325474.00,22091.23,95458.12,0.828,0.861
CacheAware_v2,88,220765.00,0.735,1388909.00,23148.48,94909.90,0.786,0.834
CacheAware_v2,89,241895.00,0.735,1369156.00,22819.27,87101.30,0.708,0.821
CacheAware_v2,90,207916.00,0.745,1383806.00,23063.43,97251.48,0.832,0.867
CacheAware_v2,91,220764.00,0.739,1344302.00,22405.03,87173.47,0.761,0.845
CacheAware_v2,92,189546.00,0.735,1300684.00,21678.07,91547.63,0.858,0.906
CacheAware_v2,93,200868.00,0.740,1375562.00,22926.03,92789.37,0.856,0.833
